"tutorial","type","name","path_or_call","line_number","file_size_kb"
"anova","data_folder_file","bld.rda","data/bld.rda",NA,17.4
"anova","data_folder_file","cld.rda","data/cld.rda",NA,2.6
"anova","data_folder_file","lmd.rda","data/lmd.rda",NA,5
"anova","data_folder_file","mbd.rda","data/mbd.rda",NA,6.8
"anova","data_folder_file","mld.rda","data/mld.rda",NA,0.7
"anova","data_folder_file","ord.rda","data/ord.rda",NA,2.4
"anova","data_folder_file","pict.rda","data/pict.rda",NA,6.3
"anova","data_folder_file","prd.rda","data/prd.rda",NA,1
"anova","data_folder_file","ratex.rda","data/ratex.rda",NA,2.8
"anova","data_folder_file","sgd.rda","data/sgd.rda",NA,0.2
"anova","data_folder_file","sld.rda","data/sld.rda",NA,5
"anova","inline_data.frame","ancova_data","data.frame(...)  [line 1358]",1358,NA
"anova","inline_data.frame","df1","data.frame(...)  [line 252]",252,NA
"anova","inline_data.frame","manova_data","data.frame(...)  [line 1120]",1120,NA
"anova","inline_data.frame","rm_data","data.frame(...)  [line 891]",891,NA
"anova","inline_data.frame","speech_rate","data.frame(...)  [line 368]",368,NA
"anova","inline_data.frame","vocab_data","data.frame(...)  [line 667]",667,NA
"anova","package_dataset","Anova","car::Anova",1324,NA
"anova","package_dataset","bind_rows","dplyr::bind_rows",1443,NA
"anova","package_dataset","group_by","dplyr::group_by",386,NA
"anova","package_dataset","leveneTest","car::leveneTest",335,NA
"anova","package_dataset","mutate","dplyr::mutate",376,NA
"anova","package_dataset","pivot_longer","tidyr::pivot_longer",1144,NA
"anova","package_dataset","pivot_wider","tidyr::pivot_wider",1152,NA
"anova","package_dataset","rename","dplyr::rename",1440,NA
"anova","package_dataset","select","dplyr::select",1439,NA
"anova","package_dataset","summarise","dplyr::summarise",387,NA
"bert_roberta","package_dataset","aes","ggplot2::aes",1114,NA
"bert_roberta","package_dataset","bind_cols","dplyr::bind_cols",884,NA
"bert_roberta","package_dataset","coord_flip","ggplot2::coord_flip",1118,NA
"bert_roberta","package_dataset","count","dplyr::count",1113,NA
"bert_roberta","package_dataset","geom_col","ggplot2::geom_col",1117,NA
"bert_roberta","package_dataset","geom_point","ggplot2::geom_point",1707,NA
"bert_roberta","package_dataset","geom_text","ggplot2::geom_text",1708,NA
"bert_roberta","package_dataset","ggplot","ggplot2::ggplot",1114,NA
"bert_roberta","package_dataset","if_else","dplyr::if_else",1263,NA
"bert_roberta","package_dataset","labs","ggplot2::labs",1120,NA
"bert_roberta","package_dataset","mutate","dplyr::mutate",1231,NA
"bert_roberta","package_dataset","scale_size_continuous","ggplot2::scale_size_continuous",1709,NA
"bert_roberta","package_dataset","select","dplyr::select",1233,NA
"bert_roberta","package_dataset","str_extract","stringr::str_extract",1495,NA
"bert_roberta","package_dataset","theme_bw","ggplot2::theme_bw",1119,NA
"cluster_analysis","data_call","large","data(large)",1887,NA
"cluster_analysis","data_call","many","data(many)",1291,NA
"cluster_analysis","data_call","phonological","data(phonological)",1891,NA
"cluster_analysis","data_folder_file","vsd.rda","data/vsd.rda",NA,10.4
"cluster_analysis","inline_data.frame","clus","data.frame(...)  [line 501]",501,NA
"cluster_analysis","inline_data.frame","clus_bin","data.frame(...)  [line 1080]",1080,NA
"cluster_analysis","inline_data.frame","comparison_eme","data.frame(...)  [line 1481]",1481,NA
"cluster_analysis","inline_data.frame","comparison_eng","data.frame(...)  [line 1457]",1457,NA
"cluster_analysis","inline_data.frame","dialects","data.frame(...)  [line 357]",357,NA
"cluster_analysis","inline_data.frame","eme_data","data.frame(...)  [line 616]",616,NA
"cluster_analysis","inline_data.frame","p1","data.frame(...)  [line 776]",776,NA
"cluster_analysis","inline_data.frame","p2","data.frame(...)  [line 784]",784,NA
"cluster_analysis","inline_data.frame","students","data.frame(...)  [line 329]",329,NA
"cluster_analysis","package_dataset","arrange","dplyr::arrange",577,NA
"cluster_analysis","package_dataset","bind_rows","dplyr::bind_rows",1112,NA
"cluster_analysis","package_dataset","filter","dplyr::filter",1586,NA
"cluster_analysis","package_dataset","group_by","dplyr::group_by",1588,NA
"cluster_analysis","package_dataset","mutate","dplyr::mutate",1462,NA
"cluster_analysis","package_dataset","n","dplyr::n",1589,NA
"cluster_analysis","package_dataset","select","dplyr::select",1596,NA
"cluster_analysis","package_dataset","ungroup","dplyr::ungroup",1590,NA
"collocations","data_folder_file","cdo.rda","data/cdo.rda",NA,419.9
"collocations","inline_data.frame","text_df","data.frame(...)  [line 1394]",1394,NA
"collocations","package_dataset","arrange","dplyr::arrange",905,NA
"collocations","package_dataset","case_when","dplyr::case_when",888,NA
"collocations","package_dataset","count","dplyr::count",1399,NA
"collocations","package_dataset","filter","dplyr::filter",749,NA
"collocations","package_dataset","group_by","dplyr::group_by",705,NA
"collocations","package_dataset","left_join","dplyr::left_join",1102,NA
"collocations","package_dataset","mutate","dplyr::mutate",703,NA
"collocations","package_dataset","rename","dplyr::rename",665,NA
"collocations","package_dataset","replace_na","tidyr::replace_na",1106,NA
"collocations","package_dataset","rowwise","dplyr::rowwise",757,NA
"collocations","package_dataset","select","dplyr::select",671,NA
"collocations","package_dataset","str_remove_all","stringr::str_remove_all",571,NA
"collocations","package_dataset","str_replace_all","stringr::str_replace_all",618,NA
"collocations","package_dataset","str_split","stringr::str_split",990,NA
"collocations","package_dataset","str_squish","stringr::str_squish",570,NA
"collocations","package_dataset","summarise","dplyr::summarise",1082,NA
"collocations","package_dataset","ungroup","dplyr::ungroup",711,NA
"collocations","readRDS","text","data/cdo.rda",568,NA
"conceptmaps","data_call","stop_words","data(stop_words)",280,NA
"conceptmaps","package_dataset","anti_join","dplyr::anti_join",286,NA
"conceptmaps","package_dataset","arrange","dplyr::arrange",1155,NA
"conceptmaps","package_dataset","case_when","dplyr::case_when",433,NA
"conceptmaps","package_dataset","count","dplyr::count",392,NA
"conceptmaps","package_dataset","crossing","tidyr::crossing",940,NA
"conceptmaps","package_dataset","filter","dplyr::filter",287,NA
"conceptmaps","package_dataset","left_join","dplyr::left_join",399,NA
"conceptmaps","package_dataset","mutate","dplyr::mutate",284,NA
"conceptmaps","package_dataset","pivot_wider","tidyr::pivot_wider",607,NA
"conceptmaps","package_dataset","pull","dplyr::pull",867,NA
"conceptmaps","package_dataset","rename","dplyr::rename",398,NA
"conceptmaps","package_dataset","select","dplyr::select",425,NA
"conceptual_maps_comparison","data_folder_file","ALL_byperiod_momarkup_t400-s10.gml","data/ALL_byperiod_momarkup_t400-s10.gml",NA,293.1
"conceptual_maps_comparison","data_folder_file","ALL_byperiod_nomarkup.txt","data/ALL_byperiod_nomarkup.txt",NA,11172.6
"conceptual_maps_comparison","data_folder_file","ALL_byperiod_nomarkup_out.txt","data/ALL_byperiod_nomarkup_out.txt",NA,10824.7
"conceptual_maps_comparison","data_folder_file","ALL_byperiod_nomarkup_out.txt_w10.bin","data/ALL_byperiod_nomarkup_out.txt_w10.bin",NA,12686.3
"conceptual_maps_comparison","data_folder_file","ALL_byperiod_nomarkup_w10.bin","data/ALL_byperiod_nomarkup_w10.bin",NA,12686.3
"conceptual_maps_comparison","data_folder_file","ALL_byperiod_word_similarity_matrix_top1000_w5.csv","data/ALL_byperiod_word_similarity_matrix_top1000_w5.csv",NA,17835.7
"conceptual_maps_comparison","data_folder_file","COOEE_w10_simgt0.25.gml","data/COOEE_w10_simgt0.25.gml",NA,8858.2
"conceptual_maps_comparison","data_folder_file","word_similarity_matrix_top1000_w10.csv","data/word_similarity_matrix_top1000_w10.csv",NA,17855.7
"concordancing","data_folder_file","ICEIrelandSample/S1A-001.txt","data/ICEIrelandSample/S1A-001.txt",NA,13.2
"concordancing","data_folder_file","ICEIrelandSample/S1A-002.txt","data/ICEIrelandSample/S1A-002.txt",NA,17.9
"concordancing","data_folder_file","ICEIrelandSample/S1A-003.txt","data/ICEIrelandSample/S1A-003.txt",NA,17.2
"concordancing","data_folder_file","ICEIrelandSample/S1A-004.txt","data/ICEIrelandSample/S1A-004.txt",NA,15.9
"concordancing","data_folder_file","ICEIrelandSample/S1A-005.txt","data/ICEIrelandSample/S1A-005.txt",NA,13.8
"concordancing","data_folder_file","ICEIrelandSample/S1A-006.txt","data/ICEIrelandSample/S1A-006.txt",NA,17.2
"concordancing","data_folder_file","ICEIrelandSample/S1A-007.txt","data/ICEIrelandSample/S1A-007.txt",NA,16.4
"concordancing","data_folder_file","ICEIrelandSample/S1A-008.txt","data/ICEIrelandSample/S1A-008.txt",NA,14.6
"concordancing","data_folder_file","ICEIrelandSample/S1A-009.txt","data/ICEIrelandSample/S1A-009.txt",NA,11
"concordancing","data_folder_file","ICEIrelandSample/S1A-010.txt","data/ICEIrelandSample/S1A-010.txt",NA,12.1
"concordancing","data_folder_file","ICEIrelandSample/S1A-011.txt","data/ICEIrelandSample/S1A-011.txt",NA,12.7
"concordancing","data_folder_file","ICEIrelandSample/S1A-012.txt","data/ICEIrelandSample/S1A-012.txt",NA,13.4
"concordancing","data_folder_file","ICEIrelandSample/S1A-013.txt","data/ICEIrelandSample/S1A-013.txt",NA,13.9
"concordancing","data_folder_file","ICEIrelandSample/S1A-014.txt","data/ICEIrelandSample/S1A-014.txt",NA,16.9
"concordancing","data_folder_file","ICEIrelandSample/S1A-015.txt","data/ICEIrelandSample/S1A-015.txt",NA,15.9
"concordancing","data_folder_file","ICEIrelandSample/S1A-016.txt","data/ICEIrelandSample/S1A-016.txt",NA,14.9
"concordancing","data_folder_file","ICEIrelandSample/S1A-017.txt","data/ICEIrelandSample/S1A-017.txt",NA,14.5
"concordancing","data_folder_file","ICEIrelandSample/S1A-018.txt","data/ICEIrelandSample/S1A-018.txt",NA,17
"concordancing","data_folder_file","ICEIrelandSample/S1A-019.txt","data/ICEIrelandSample/S1A-019.txt",NA,14.5
"concordancing","data_folder_file","ICEIrelandSample/S1A-020.txt","data/ICEIrelandSample/S1A-020.txt",NA,14.4
"concordancing","data_folder_file","ICEIrelandSample/S1A-021.txt","data/ICEIrelandSample/S1A-021.txt",NA,12.3
"concordancing","data_folder_file","ICEIrelandSample/S1A-022.txt","data/ICEIrelandSample/S1A-022.txt",NA,15.6
"concordancing","data_folder_file","ICEIrelandSample/S1A-023.txt","data/ICEIrelandSample/S1A-023.txt",NA,16.8
"concordancing","data_folder_file","ICEIrelandSample/S1A-024.txt","data/ICEIrelandSample/S1A-024.txt",NA,16
"concordancing","data_folder_file","ICEIrelandSample/S1A-025.txt","data/ICEIrelandSample/S1A-025.txt",NA,15.4
"concordancing","data_folder_file","ICEIrelandSample/S1A-026.txt","data/ICEIrelandSample/S1A-026.txt",NA,13.5
"concordancing","data_folder_file","ICEIrelandSample/S1A-027.txt","data/ICEIrelandSample/S1A-027.txt",NA,14.4
"concordancing","data_folder_file","ICEIrelandSample/S1A-028.txt","data/ICEIrelandSample/S1A-028.txt",NA,14.1
"concordancing","data_folder_file","ICEIrelandSample/S1A-029.txt","data/ICEIrelandSample/S1A-029.txt",NA,14.7
"concordancing","data_folder_file","ICEIrelandSample/S1A-030.txt","data/ICEIrelandSample/S1A-030.txt",NA,15.8
"concordancing","data_folder_file","ICEIrelandSample/S1A-031.txt","data/ICEIrelandSample/S1A-031.txt",NA,15.8
"concordancing","data_folder_file","ICEIrelandSample/S1A-032.txt","data/ICEIrelandSample/S1A-032.txt",NA,15.3
"concordancing","data_folder_file","ICEIrelandSample/S1A-033.txt","data/ICEIrelandSample/S1A-033.txt",NA,16.1
"concordancing","data_folder_file","ICEIrelandSample/S1A-034.txt","data/ICEIrelandSample/S1A-034.txt",NA,15.7
