"folder","title","params_doi","zenodo_doi","check","published"
"anova","ANOVA, MANOVA, and ANCOVA using R","10.5281/zenodo.19329144","10.5281/zenodo.19329144","MATCH (published)",TRUE
"bert_roberta","BERT and RoBERTa in R: Transformer-Based NLP","10.5281/zenodo.19332941","10.5281/zenodo.19332941","MATCH (published)",TRUE
"cluster_analysis","Cluster and Correspondence Analysis in R","10.5281/zenodo.19329159","10.5281/zenodo.19329159","MATCH (published)",TRUE
"collocations","Analyzing Collocations and N-grams in R","10.5281/zenodo.19424287","10.5281/zenodo.19424287","MATCH (published)",TRUE
"conceptmaps","Conceptual Maps in R","10.5281/zenodo.19332087","10.5281/zenodo.19332087","MATCH (published)",TRUE
"conceptual_maps_comparison","Comparing Methods for Conceptual Maps","10.5281/zenodo.19332091","10.5281/zenodo.19332091","MATCH (published)",TRUE
"concordancing","Finding Words in Text: Concordancing with R","10.5281/zenodo.19332093","10.5281/zenodo.19332093","MATCH (published)",TRUE
"corpus_compilation","Compiling a Corpus: From Texts to Analysis-Ready Data","10.5281/zenodo.19332645","10.5281/zenodo.19332645","MATCH (published)",TRUE
"corpus_linguistics","Corpus Linguistics with R","10.5281/zenodo.19424857","10.5281/zenodo.19424857","MATCH (published)",TRUE
"data_loading","Loading and Saving Data in R","10.5281/zenodo.19332909","10.5281/zenodo.19332909","MATCH (published)",TRUE
"data_simulation","Simulating Data with R","10.5281/zenodo.19332961","10.5281/zenodo.19332961","MATCH (published)",TRUE
"data_viz_advanced","Mastering Data Visualization with R","10.5281/zenodo.19332872","10.5281/zenodo.19332872","MATCH (published)",TRUE
"data_viz_intro","Introduction to Data Visualization in R","10.5281/zenodo.19424859","10.5281/zenodo.19424859","MATCH (published)",TRUE
"datamanagement","Introduction to Data Management for Researchers","10.5281/zenodo.19424861","10.5281/zenodo.19424861","MATCH (published)",TRUE
"deep_learning","Deep Learning with R: Recurrent Neural Networks and TensorFlow","10.5281/zenodo.19424863","10.5281/zenodo.19424863","MATCH (published)",TRUE
"descriptive_stats","Descriptive Statistics with R","10.5281/zenodo.19332864","10.5281/zenodo.19332864","MATCH (published)",TRUE
"dimension_reduction","Dimension Reduction Methods with R","10.5281/zenodo.19332866","10.5281/zenodo.19332866","MATCH (published)",TRUE
"document_classification","Classifying American Speeches","10.5281/zenodo.19329146","10.5281/zenodo.19329146","MATCH (published)",TRUE
"embeddings","Word Embeddings and Vector Semantics","10.5281/zenodo.19424865","10.5281/zenodo.19424865","MATCH (published)",TRUE
"eyetracking","Processing and Analysing Eye-Tracking Data in R","10.5281/zenodo.19350403","10.5281/zenodo.19350403","MATCH (published)",TRUE
"gutenberg","Downloading Texts from Project Gutenberg using R","10.5281/zenodo.19424867","10.5281/zenodo.19424867","MATCH (published)",TRUE
"inferential_stats","Basic Inferential Statistics using R","10.5281/zenodo.19329155","10.5281/zenodo.19329155","MATCH (published)",TRUE
"interactive_viz","Interactive Visualizations in R","10.5281/zenodo.19332915","10.5281/zenodo.19332915","MATCH (published)",TRUE
"jupyter","Creating Interactive Jupyter Notebooks","10.5281/zenodo.19424869","10.5281/zenodo.19424869","MATCH (published)",TRUE
"keywords","Keyness and Keyword Analysis in R","10.5281/zenodo.19332896","10.5281/zenodo.19332896","MATCH (published)",TRUE
"leaflet","How to create a typological map in R with leaflet","10.5281/zenodo.19332899","10.5281/zenodo.19332899","MATCH (published)",TRUE
"learner_language","Analysing Learner Language with R","10.5281/zenodo.19332907","10.5281/zenodo.19332907","MATCH (published)",TRUE
"lexical_similarity","Introduction to Lexical Similarity","10.5281/zenodo.19332903","10.5281/zenodo.19332903","MATCH (published)",TRUE
