"folder","title","params_doi","zenodo_doi","concept_doi","status","published","action"
"anova","ANOVA, MANOVA, and ANCOVA using R","10.5281/zenodo.19329143","","","ERROR",FALSE,"Check manually"
"bert_roberta","BERT and RoBERTa in R: Transformer-Based NLP","10.5281/zenodo.19332940","","","ERROR",FALSE,"Check manually"
"cluster_analysis","Cluster and Correspondence Analysis in R","10.5281/zenodo.19329158","","","ERROR",FALSE,"Check manually"
"collocations","Analyzing Collocations and N-grams in R","10.5281/zenodo.19424286","","","ERROR",FALSE,"Check manually"
"conceptmaps","Conceptual Maps in R","10.5281/zenodo.19332086","","","ERROR",FALSE,"Check manually"
"conceptual_maps_comparison","Comparing Methods for Conceptual Maps","10.5281/zenodo.19332090","","","ERROR",FALSE,"Check manually"
"concordancing","Finding Words in Text: Concordancing with R","10.5281/zenodo.19332092","","","ERROR",FALSE,"Check manually"
"corpus_compilation","Compiling a Corpus: From Texts to Analysis-Ready Data","10.5281/zenodo.19332644","","","ERROR",FALSE,"Check manually"
"corpus_linguistics","Corpus Linguistics with R","10.5281/zenodo.19424856","","","ERROR",FALSE,"Check manually"
"data_loading","Loading and Saving Data in R","10.5281/zenodo.19332908","","","ERROR",FALSE,"Check manually"
"data_simulation","Simulating Data with R","10.5281/zenodo.19332960","","","ERROR",FALSE,"Check manually"
"data_viz_advanced","Mastering Data Visualization with R","10.5281/zenodo.19332871","","","ERROR",FALSE,"Check manually"
"data_viz_intro","Introduction to Data Visualization in R","10.5281/zenodo.19424858","","","ERROR",FALSE,"Check manually"
"datamanagement","Introduction to Data Management for Researchers","10.5281/zenodo.19424860","","","ERROR",FALSE,"Check manually"
"deep_learning","Deep Learning with R: Recurrent Neural Networks and TensorFlow","10.5281/zenodo.19424862","","","ERROR",FALSE,"Check manually"
"descriptive_stats","Descriptive Statistics with R","10.5281/zenodo.19332863","","","ERROR",FALSE,"Check manually"
"dimension_reduction","Dimension Reduction Methods with R","10.5281/zenodo.19332865","","","ERROR",FALSE,"Check manually"
"document_classification","Classifying American Speeches","10.5281/zenodo.19329145","","","ERROR",FALSE,"Check manually"
"embeddings","Word Embeddings and Vector Semantics","10.5281/zenodo.19424864","","","ERROR",FALSE,"Check manually"
"eyetracking","Processing and Analysing Eye-Tracking Data in R","10.5281/zenodo.19350402","","","ERROR",FALSE,"Check manually"
"gutenberg","Downloading Texts from Project Gutenberg using R","10.5281/zenodo.19424866","","","ERROR",FALSE,"Check manually"
"inferential_stats","Basic Inferential Statistics using R","10.5281/zenodo.19329154","","","ERROR",FALSE,"Check manually"
"interactive_viz","Interactive Visualizations in R","10.5281/zenodo.19332914","","","ERROR",FALSE,"Check manually"
"jupyter","Creating Interactive Jupyter Notebooks","10.5281/zenodo.19424868","","","ERROR",FALSE,"Check manually"
"keywords","Keyness and Keyword Analysis in R","10.5281/zenodo.19332895","","","ERROR",FALSE,"Check manually"
"leaflet","How to create a typological map in R with leaflet","10.5281/zenodo.19332898","","","ERROR",FALSE,"Check manually"
"learner_language","Analysing Learner Language with R","10.5281/zenodo.19332906","","","ERROR",FALSE,"Check manually"
"lexical_similarity","Introduction to Lexical Similarity","10.5281/zenodo.19332902","","","ERROR",FALSE,"Check manually"
"lexicography","Lexicography with R","10.5281/zenodo.19332900","","","ERROR",FALSE,"Check manually"
"litsty","Computational Literary Stylistics with R","10.5281/zenodo.19332904","","","ERROR",FALSE,"Check manually"
"llm_privacy","Privacy-Preserving Analysis with Local LLMs: Generating Synthetic Data Proxies","10.5281/zenodo.19332910","","","ERROR",FALSE,"Check manually"
"mixedmodel","Mixed-Effects Models in R","10.5281/zenodo.19332912","","","ERROR",FALSE,"Check manually"
"network_analysis","Network Analysis using R","10.5281/zenodo.19332916","","","ERROR",FALSE,"Check manually"
"notebooks","R Markdown and Quarto: Creating Reproducible Documents","10.5281/zenodo.19332918","","","ERROR",FALSE,"Check manually"
"ollamar","Local Large Language Models in R with Ollama","10.5281/zenodo.19332920","","","ERROR",FALSE,"Check manually"
"pdf_to_text","Converting PDFs to Text with R","10.5281/zenodo.19332924","","","ERROR",FALSE,"Check manually"
"phylogenetic_methods","Practical Phylogenetic Methods for Linguistic Typology","10.5281/zenodo.19332926","","","ERROR",FALSE,"Check manually"
"pos_tagging","Part-of-Speech Tagging and Dependency Parsing in R","10.5281/zenodo.19424870","","","ERROR",FALSE,"Check manually"
"power_analysis","Power Analysis in R","10.5281/zenodo.19332932","","","ERROR",FALSE,"Check manually"
"publish","Publishing Free Online Books and Websites with Bookdown and Quarto","10.5281/zenodo.19332934","","","ERROR",FALSE,"Check manually"
"quant_basics","Basic Concepts in Quantitative Research","10.5281/zenodo.19329152","","","ERROR",FALSE,"Check manually"
"quant_intro","Introduction to Quantitative Reasoning: Why We Need Science","10.5281/zenodo.19424873","","","ERROR",FALSE,"Check manually"
"r_intro","Getting Started with R and RStudio","10.5281/zenodo.19332885","","","ERROR",FALSE,"Check manually"
"r_reproducibility","Reproducibility with R","10.5281/zenodo.19424875","","","ERROR",FALSE,"Check manually"
"regression","Regression Analysis: Implementation in R","10.5281/zenodo.19332944","","","ERROR",FALSE,"Check manually"
"regression_concepts","Regression Analysis: Conceptual Foundations","10.5281/zenodo.19332946","","","ERROR",FALSE,"Check manually"
"regular_expressions","Regular Expressions in R","10.5281/zenodo.19332942","","","ERROR",FALSE,"Check manually"
"reinforcement_nlp","Reinforcement Learning and Text Summarization in R","10.5281/zenodo.19424877","","","ERROR",FALSE,"Check manually"
"reproducibility","Reproducible Research: Principles and Practice","10.5281/zenodo.19332950","","","ERROR",FALSE,"Check manually"
"semantic_vectors","Semantic Vector Space Models in R","10.5281/zenodo.19424879","","","ERROR",FALSE,"Check manually"
"sentiment","Sentiment Analysis in R","10.5281/zenodo.19332958","","","ERROR",FALSE,"Check manually"
"speechprocessing","Speech Processing in R: Transcription and Analysis with Whisper","10.5281/zenodo.19424881","","","ERROR",FALSE,"Check manually"
"spellcheck","Spell checking text data with R","10.5281/zenodo.19332966","","","ERROR",FALSE,"Check manually"
"string","String Processing in R","10.5281/zenodo.19332968","","","ERROR",FALSE,"Check manually"
"structural_equations","Structural Equation Modelling in R","10.5281/zenodo.19332952","","","ERROR",FALSE,"Check manually"
"surveys","Visualising and Analysing Survey and Questionnaire Data with R","10.5281/zenodo.19332970","","","ERROR",FALSE,"Check manually"
"table","Handling Tables in R","10.5281/zenodo.19424883","","","ERROR",FALSE,"Check manually"
"text_analysis_intro","Introduction to Text Analysis: Concepts and Foundations","10.5281/zenodo.19424885","","","ERROR",FALSE,"Check manually"
"text_summarisation","Automated Text Summarisation with R","10.5281/zenodo.19332984","","","ERROR",FALSE,"Check manually"
"textanalysis","Introduction to Text Analysis: Practical Implementation in R","10.5281/zenodo.19332976","","","ERROR",FALSE,"Check manually"
"topic","Topic Modelling with R","10.5281/zenodo.19332978","","","ERROR",FALSE,"Check manually"
"topic_modelling_dickens","Topic Modelling of Charles Dickens' Novels","10.5281/zenodo.19424887","","","ERROR",FALSE,"Check manually"
"tree_models","Tree-Based Models in R","10.5281/zenodo.19424889","","","ERROR",FALSE,"Check manually"
"vowelchart","Creating Vowel Charts in R","10.5281/zenodo.19332986","","","ERROR",FALSE,"Check manually"
"webscraping","Web Scraping with R","10.5281/zenodo.19424891","","","ERROR",FALSE,"Check manually"
"why_r","Why R?","10.5281/zenodo.19332990","","","ERROR",FALSE,"Check manually"
"working_with_computers","Working with Computers: Essential Skills for Researchers","10.5281/zenodo.19332994","","","ERROR",FALSE,"Check manually"
