"folder","qmd_file","concept_doi","record_id","filename","file_url","title","status"
"anova","tutorials/anova/anova.qmd","10.5281/zenodo.19329143","19329144","anova.html","https://zenodo.org/records/19329144/files/anova.html","ANOVA, MANOVA, and ANCOVA using R","OK"
"bert_roberta","tutorials/bert_roberta/bert_roberta.qmd","10.5281/zenodo.19332940","19332941","rbert.html","https://zenodo.org/records/19332941/files/rbert.html","BERT and RoBERTa in R: Transformer-Based NLP","OK"
"cluster_analysis","tutorials/cluster_analysis/cluster_analysis.qmd","10.5281/zenodo.19329158","19329159","clust.html","https://zenodo.org/records/19329159/files/clust.html","Cluster and Correspondence Analysis in R","OK"
"collocations","tutorials/collocations/collocations.qmd","10.5281/zenodo.19424286","19424287","collocation_tutorial.html","https://zenodo.org/records/19424287/files/collocation_tutorial.html","Analyzing Collocations and N-grams in R","OK"
"conceptmaps","tutorials/conceptmaps/conceptmaps.qmd","10.5281/zenodo.19332086","19332087","conceptmaps.html","https://zenodo.org/records/19332087/files/conceptmaps.html","Conceptual Maps in R","OK"
"conceptual_maps_comparison","tutorials/conceptual_maps_comparison/conceptual_maps_comparison.qmd","10.5281/zenodo.19332090","19332091","conceptualmaps_showcase.html","https://zenodo.org/records/19332091/files/conceptualmaps_showcase.html","Comparing Methods for Conceptual Maps","OK"
"concordancing","tutorials/concordancing/concordancing.qmd","10.5281/zenodo.19332092","19332093","concordancing_tutorial.html","https://zenodo.org/records/19332093/files/concordancing_tutorial.html","Finding Words in Text: Concordancing with R","OK"
"corpus_compilation","tutorials/corpus_compilation/corpus_compilation.qmd","10.5281/zenodo.19332644","19332645","corpuscompilation_tutorial.html","https://zenodo.org/records/19332645/files/corpuscompilation_tutorial.html","Compiling a Corpus: From Texts to Analysis-Ready Data","OK"
"corpus_linguistics","tutorials/corpus_linguistics/corpus_linguistics.qmd","10.5281/zenodo.19424856","19424857","corpus_linguistics.html","https://zenodo.org/records/19424857/files/corpus_linguistics.html","Corpus Linguistics with R","OK"
"data_loading","tutorials/data_loading/data_loading.qmd","10.5281/zenodo.19332908","19332909","load.html","https://zenodo.org/records/19332909/files/load.html","Loading and Saving Data in R","OK"
"data_simulation","tutorials/data_simulation/data_simulation.qmd","10.5281/zenodo.19332960","19332961","simulate.html","https://zenodo.org/records/19332961/files/simulate.html","Simulating Data with R","OK"
"data_viz_advanced","tutorials/data_viz_advanced/data_viz_advanced.qmd","10.5281/zenodo.19332871","19332872","dviz.html","https://zenodo.org/records/19332872/files/dviz.html","Mastering Data Visualization with R","OK"
"data_viz_intro","tutorials/data_viz_intro/data_viz_intro.qmd","10.5281/zenodo.19424858","19424859","data_viz_intro.html","https://zenodo.org/records/19424859/files/data_viz_intro.html","Introduction to Data Visualization in R","OK"
"datamanagement","tutorials/datamanagement/datamanagement.qmd","10.5281/zenodo.19424860","19424861","datamanagement.html","https://zenodo.org/records/19424861/files/datamanagement.html","Introduction to Data Management for Researchers","OK"
"deep_learning","tutorials/deep_learning/deep_learning.qmd","10.5281/zenodo.19424862","19424863","deep_learning.html","https://zenodo.org/records/19424863/files/deep_learning.html","Deep Learning with R: Recurrent Neural Networks and TensorFlow","OK"
"descriptive_stats","tutorials/descriptive_stats/descriptive_stats.qmd","10.5281/zenodo.19332863","19332864","descriptivestats_tutorial.html","https://zenodo.org/records/19332864/files/descriptivestats_tutorial.html","Descriptive Statistics with R","OK"
"dimension_reduction","tutorials/dimension_reduction/dimension_reduction.qmd","10.5281/zenodo.19332865","19332866","dimensionredux_tutorial.html","https://zenodo.org/records/19332866/files/dimensionredux_tutorial.html","Dimension Reduction Methods with R","OK"
"document_classification","tutorials/document_classification/document_classification.qmd","10.5281/zenodo.19329145","19329146","atap_docclass.html","https://zenodo.org/records/19329146/files/atap_docclass.html","Classifying American Speeches","OK"
"embeddings","tutorials/embeddings/embeddings.qmd","10.5281/zenodo.19424864","19424865","embeddings.html","https://zenodo.org/records/19424865/files/embeddings.html","Word Embeddings and Vector Semantics","OK"
"eyetracking","tutorials/eyetracking/eyetracking.qmd","10.5281/zenodo.19350402","19350403","eyetracking.html","https://zenodo.org/records/19350403/files/eyetracking.html","Processing and Analysing Eye-Tracking Data in R","OK"
