"folder","file","doi","status"
"anova","tutorials/anova/anova.qmd","10.5281/zenodo.19329144","PUBLISHED"
"bert_roberta","tutorials/bert_roberta/bert_roberta.qmd","10.5281/zenodo.19332941","PUBLISHED"
"cluster_analysis","tutorials/cluster_analysis/cluster_analysis.qmd","10.5281/zenodo.19329159","PUBLISHED"
"collocations","tutorials/collocations/collocations.qmd","10.5281/zenodo.19332085","NOT FOUND"
"conceptmaps","tutorials/conceptmaps/conceptmaps.qmd","10.5281/zenodo.19332087","PUBLISHED"
"conceptual_maps_comparison","tutorials/conceptual_maps_comparison/conceptual_maps_comparison.qmd","10.5281/zenodo.19332091","PUBLISHED"
"concordancing","tutorials/concordancing/concordancing.qmd","10.5281/zenodo.19332093","PUBLISHED"
"corpus_compilation","tutorials/corpus_compilation/corpus_compilation.qmd","10.5281/zenodo.19332645","PUBLISHED"
"corpus_linguistics","tutorials/corpus_linguistics/corpus_linguistics.qmd","10.5281/zenodo.19332649","NOT FOUND"
"data_loading","tutorials/data_loading/data_loading.qmd","10.5281/zenodo.19332909","PUBLISHED"
"data_simulation","tutorials/data_simulation/data_simulation.qmd","10.5281/zenodo.19332961","PUBLISHED"
"data_viz_advanced","tutorials/data_viz_advanced/data_viz_advanced.qmd","10.5281/zenodo.19332872","PUBLISHED"
"data_viz_intro","tutorials/data_viz_intro/data_viz_intro.qmd","10.5281/zenodo.19332890","NOT FOUND"
"datamanagement","tutorials/datamanagement/datamanagement.qmd","10.5281/zenodo.19332651","NOT FOUND"
"deep_learning","tutorials/deep_learning/deep_learning.qmd","10.5281/zenodo.19362594","NOT FOUND"
"descriptive_stats","tutorials/descriptive_stats/descriptive_stats.qmd","10.5281/zenodo.19332864","PUBLISHED"
"dimension_reduction","tutorials/dimension_reduction/dimension_reduction.qmd","10.5281/zenodo.19332866","PUBLISHED"
"document_classification","tutorials/document_classification/document_classification.qmd","10.5281/zenodo.19329146","PUBLISHED"
"embeddings","tutorials/embeddings/embeddings.qmd","10.5281/zenodo.19332874","NOT FOUND"
"eyetracking","tutorials/eyetracking/eyetracking.qmd","10.5281/zenodo.19350403","PUBLISHED"
