"package","n_tutorials","pct_tutorials","above_threshold"
"dplyr",59,86.8,TRUE
"ggplot2",55,80.9,TRUE
"flextable",53,77.9,TRUE
"tidyr",52,76.5,TRUE
"stringr",48,70.6,TRUE
"checkdown",45,66.2,TRUE
"purrr",37,54.4,FALSE
"tibble",31,45.6,FALSE
"readr",28,41.2,FALSE
"forcats",26,38.2,FALSE
"lubridate",26,38.2,FALSE
"tidyverse",26,38.2,FALSE
"here",16,23.5,FALSE
"quanteda",15,22.1,FALSE
"tidytext",13,19.1,FALSE
"Matrix",11,16.2,FALSE
"cowplot",7,10.3,FALSE
"MASS",6,8.8,FALSE
"ggrepel",6,8.8,FALSE
"igraph",6,8.8,FALSE
"quanteda.textplots",6,8.8,FALSE
"udpipe",6,8.8,FALSE
"effectsize",5,7.4,FALSE
"ggpubr",5,7.4,FALSE
"knitr",5,7.4,FALSE
"lme4",5,7.4,FALSE
"psych",5,7.4,FALSE
"report",5,7.4,FALSE
"Hmisc",4,5.9,FALSE
"RColorBrewer",4,5.9,FALSE
"e1071",4,5.9,FALSE
"factoextra",4,5.9,FALSE
"ggraph",4,5.9,FALSE
"gridExtra",4,5.9,FALSE
"gutenbergr",4,5.9,FALSE
"lattice",4,5.9,FALSE
"quanteda.textstats",4,5.9,FALSE
"sjPlot",4,5.9,FALSE
"vcd",4,5.9,FALSE
"vip",4,5.9,FALSE
"Boruta",3,4.4,FALSE
"DT",3,4.4,FALSE
"NLP",3,4.4,FALSE
"Rtsne",3,4.4,FALSE
"car",3,4.4,FALSE
"carData",3,4.4,FALSE
"emmeans",3,4.4,FALSE
"hunspell",3,4.4,FALSE
"nlme",3,4.4,FALSE
"rvest",3,4.4,FALSE
"scales",3,4.4,FALSE
"text2vec",3,4.4,FALSE
"tm",3,4.4,FALSE
"tokenizers",3,4.4,FALSE
"viridis",3,4.4,FALSE
"viridisLite",3,4.4,FALSE
"xml2",3,4.4,FALSE
"DescTools",2,2.9,FALSE
"FactoMineR",2,2.9,FALSE
"GGally",2,2.9,FALSE
"MuMIn",2,2.9,FALSE
"ape",2,2.9,FALSE
"brant",2,2.9,FALSE
"caret",2,2.9,FALSE
"cfa",2,2.9,FALSE
"cluster",2,2.9,FALSE
"coop",2,2.9,FALSE
"devtools",2,2.9,FALSE
"effects",2,2.9,FALSE
"gapminder",2,2.9,FALSE
"ggfortify",2,2.9,FALSE
"glmulti",2,2.9,FALSE
"jsonlite",2,2.9,FALSE
"koRpus",2,2.9,FALSE
"lavaan",2,2.9,FALSE
"leaflet",2,2.9,FALSE
"leaps",2,2.9,FALSE
"lexRankr",2,2.9,FALSE
"mclogit",2,2.9,FALSE
"ollamar",2,2.9,FALSE
"openxlsx",2,2.9,FALSE
"ordinal",2,2.9,FALSE
"performance",2,2.9,FALSE
"plotly",2,2.9,FALSE
"plyr",2,2.9,FALSE
"pwr",2,2.9,FALSE
"quanteda.textmodels",2,2.9,FALSE
"rJava",2,2.9,FALSE
"reshape2",2,2.9,FALSE
"reticulate",2,2.9,FALSE
"rms",2,2.9,FALSE
"robustbase",2,2.9,FALSE
"see",2,2.9,FALSE
"slam",2,2.9,FALSE
"stringi",2,2.9,FALSE
"sylly",2,2.9,FALSE
"usethis",2,2.9,FALSE
"writexl",2,2.9,FALSE
"zoo",2,2.9,FALSE
"EnvStats",1,1.5,FALSE
"ForceAtlas2",1,1.5,FALSE
"GPArotation",1,1.5,FALSE
"Gmisc",1,1.5,FALSE
"PearsonDS",1,1.5,FALSE
"Rcpp",1,1.5,FALSE
"Rmisc",1,1.5,FALSE
"WebPower",1,1.5,FALSE
"audio.whisper",1,1.5,FALSE
"boot",1,1.5,FALSE
"broom",1,1.5,FALSE
"cleanNLP",1,1.5,FALSE
"colorspace",1,1.5,FALSE
"data.table",1,1.5,FALSE
"exact2x2",1,1.5,FALSE
"exactci",1,1.5,FALSE
"eyetrackingR",1,1.5,FALSE
"fGarch",1,1.5,FALSE
"gganimate",1,1.5,FALSE
"ggdendro",1,1.5,FALSE
"ggflags",1,1.5,FALSE
"ggforce",1,1.5,FALSE
"ggparty",1,1.5,FALSE
"ggridges",1,1.5,FALSE
"ggstats",1,1.5,FALSE
"glottoTrees",1,1.5,FALSE
"glue",1,1.5,FALSE
"gplots",1,1.5,FALSE
"hashr",1,1.5,FALSE
"hexbin",1,1.5,FALSE
"htmlTable",1,1.5,FALSE
"htmlwidgets",1,1.5,FALSE
"httr",1,1.5,FALSE
"httr2",1,1.5,FALSE
"itsadug",1,1.5,FALSE
"kableExtra",1,1.5,FALSE
"keras3",1,1.5,FALSE
"koRpus.lang.en",1,1.5,FALSE
"lawstat",1,1.5,FALSE
"lda",1,1.5,FALSE
"ldatuning",1,1.5,FALSE
"libcoin",1,1.5,FALSE
"likert",1,1.5,FALSE
"mgcv",1,1.5,FALSE
"modeltools",1,1.5,FALSE
"mvtnorm",1,1.5,FALSE
"officer",1,1.5,FALSE
"party",1,1.5,FALSE
"partykit",1,1.5,FALSE
"patchwork",1,1.5,FALSE
"pdftools",1,1.5,FALSE
"pdp",1,1.5,FALSE
"pheatmap",1,1.5,FALSE
"phyloWeights",1,1.5,FALSE
"plotfunctions",1,1.5,FALSE
"plotrix",1,1.5,FALSE
"polite",1,1.5,FALSE
"pvclust",1,1.5,FALSE
"qgraph",1,1.5,FALSE
"randomForest",1,1.5,FALSE
"readxl",1,1.5,FALSE
"rmarkdown",1,1.5,FALSE
"rmd2jupyter",1,1.5,FALSE
"rnaturalearth",1,1.5,FALSE
"rnaturalearthdata",1,1.5,FALSE
"robotstxt",1,1.5,FALSE
"rstatix",1,1.5,FALSE
"sandwich",1,1.5,FALSE
"seewave",1,1.5,FALSE
"semPlot",1,1.5,FALSE
"semTools",1,1.5,FALSE
"sentimentr",1,1.5,FALSE
"seriation",1,1.5,FALSE
"sf",1,1.5,FALSE
"simr",1,1.5,FALSE
"smacof",1,1.5,FALSE
"ssanv",1,1.5,FALSE
"stm",1,1.5,FALSE
"stopwords",1,1.5,FALSE
"stringdist",1,1.5,FALSE
"strucchange",1,1.5,FALSE
"synthpop",1,1.5,FALSE
"syuzhet",1,1.5,FALSE
"tesseract",1,1.5,FALSE
"testthat",1,1.5,FALSE
"text",1,1.5,FALSE
"textdata",1,1.5,FALSE
"textplot",1,1.5,FALSE
"textrank",1,1.5,FALSE
"tidygraph",1,1.5,FALSE
"topicmodels",1,1.5,FALSE
"tree",1,1.5,FALSE
"tuneR",1,1.5,FALSE
"ufs",1,1.5,FALSE
"umap",1,1.5,FALSE
"uwot",1,1.5,FALSE
"visNetwork",1,1.5,FALSE
"widyr",1,1.5,FALSE
"word2vec",1,1.5,FALSE
"wordVectors",1,1.5,FALSE
"wordcloud",1,1.5,FALSE
