"tutorial","package","session_found"
"anova","pwr",TRUE
"anova","psych",TRUE
"anova","cowplot",TRUE
"anova","broom",TRUE
"anova","rstatix",TRUE
"anova","ggpubr",TRUE
"anova","car",TRUE
"anova","carData",TRUE
"anova","emmeans",TRUE
"anova","report",TRUE
"anova","effectsize",TRUE
"anova","flextable",TRUE
"anova","tidyr",TRUE
"anova","ggplot2",TRUE
"anova","dplyr",TRUE
"anova","checkdown",TRUE
"bert_roberta","purrr",TRUE
"bert_roberta","tidyr",TRUE
"bert_roberta","stringr",TRUE
"bert_roberta","tibble",TRUE
"bert_roberta","flextable",TRUE
"bert_roberta","ggplot2",TRUE
"bert_roberta","dplyr",TRUE
"bert_roberta","text",TRUE
"bert_roberta","reticulate",TRUE
"bert_roberta","checkdown",TRUE
"cluster_analysis","checkdown",TRUE
"cluster_analysis","exact2x2",TRUE
"cluster_analysis","exactci",TRUE
"cluster_analysis","testthat",TRUE
"cluster_analysis","ssanv",TRUE
"cluster_analysis","vcd",TRUE
"cluster_analysis","lubridate",TRUE
"cluster_analysis","forcats",TRUE
"cluster_analysis","stringr",TRUE
"cluster_analysis","dplyr",TRUE
"cluster_analysis","purrr",TRUE
"cluster_analysis","readr",TRUE
"cluster_analysis","tidyr",TRUE
"cluster_analysis","tidyverse",TRUE
"cluster_analysis","tibble",TRUE
"cluster_analysis","seriation",TRUE
"cluster_analysis","pvclust",TRUE
"cluster_analysis","gplots",TRUE
"cluster_analysis","FactoMineR",TRUE
"cluster_analysis","factoextra",TRUE
"cluster_analysis","ggplot2",TRUE
"cluster_analysis","cluster",TRUE
"cluster_analysis","ape",TRUE
"cluster_analysis","flextable",TRUE
"collocations","cowplot",TRUE
"collocations","Matrix",TRUE
"collocations","igraph",TRUE
"collocations","ggdendro",TRUE
"collocations","GGally",TRUE
"collocations","factoextra",TRUE
"collocations","FactoMineR",TRUE
"collocations","tidytext",TRUE
"collocations","quanteda",TRUE
"collocations","tokenizers",TRUE
"collocations","flextable",TRUE
"collocations","lubridate",TRUE
"collocations","forcats",TRUE
"collocations","stringr",TRUE
"collocations","dplyr",TRUE
"collocations","purrr",TRUE
"collocations","readr",TRUE
"collocations","tidyr",TRUE
"collocations","tibble",TRUE
"collocations","ggplot2",TRUE
"collocations","tidyverse",TRUE
"collocations","checkdown",TRUE
"conceptmaps","viridis",TRUE
"conceptmaps","viridisLite",TRUE
"conceptmaps","RColorBrewer",TRUE
"conceptmaps","ggrepel",TRUE
"conceptmaps","flextable",TRUE
"conceptmaps","text2vec",TRUE
"conceptmaps","smacof",TRUE
"conceptmaps","e1071",TRUE
"conceptmaps","colorspace",TRUE
"conceptmaps","plotrix",TRUE
"conceptmaps","Matrix",TRUE
"conceptmaps","widyr",TRUE
"conceptmaps","qgraph",TRUE
"conceptmaps","ggraph",TRUE
"conceptmaps","igraph",TRUE
"conceptmaps","gutenbergr",TRUE
"conceptmaps","tidytext",TRUE
"conceptmaps","lubridate",TRUE
"conceptmaps","forcats",TRUE
"conceptmaps","stringr",TRUE
"conceptmaps","dplyr",TRUE
"conceptmaps","purrr",TRUE
"conceptmaps","readr",TRUE
"conceptmaps","tidyr",TRUE
"conceptmaps","tibble",TRUE
"conceptmaps","ggplot2",TRUE
"conceptmaps","tidyverse",TRUE
"conceptual_maps_comparison","ForceAtlas2",TRUE
"conceptual_maps_comparison","wordVectors",TRUE
"conceptual_maps_comparison","uwot",TRUE
"conceptual_maps_comparison","Matrix",TRUE
"conceptual_maps_comparison","scales",TRUE
"conceptual_maps_comparison","htmlwidgets",TRUE
"conceptual_maps_comparison","plotly",TRUE
"conceptual_maps_comparison","Rtsne",TRUE
"conceptual_maps_comparison","reshape2",TRUE
"conceptual_maps_comparison","ggrepel",TRUE
"conceptual_maps_comparison","tidytext",TRUE
"conceptual_maps_comparison","lubridate",TRUE
"conceptual_maps_comparison","forcats",TRUE
"conceptual_maps_comparison","stringr",TRUE
"conceptual_maps_comparison","dplyr",TRUE
"conceptual_maps_comparison","purrr",TRUE
"conceptual_maps_comparison","readr",TRUE
"conceptual_maps_comparison","tidyr",TRUE
"conceptual_maps_comparison","tibble",TRUE
"conceptual_maps_comparison","ggplot2",TRUE
"conceptual_maps_comparison","tidyverse",TRUE
"conceptual_maps_comparison","igraph",TRUE
"concordancing","ggplot2",TRUE
"concordancing","tidyr",TRUE
"concordancing","flextable",TRUE
"concordancing","here",TRUE
"concordancing","writexl",TRUE
"concordancing","stringr",TRUE
"concordancing","dplyr",TRUE
"concordancing","quanteda",TRUE
"concordancing","checkdown",TRUE
"corpus_compilation","checkdown",TRUE
"corpus_linguistics","cfa",TRUE
"corpus_linguistics","quanteda",TRUE
"corpus_linguistics","flextable",TRUE
"corpus_linguistics","ggplot2",TRUE
"corpus_linguistics","here",TRUE
"corpus_linguistics","stringr",TRUE
"corpus_linguistics","tidyr",TRUE
"corpus_linguistics","dplyr",TRUE
"data_loading","officer",TRUE
"data_loading","ggplot2",TRUE
"data_loading","purrr",TRUE
"data_loading","stringr",TRUE
"data_loading","tidyr",TRUE
"data_loading","dplyr",TRUE
"data_loading","xml2",TRUE
"data_loading","jsonlite",TRUE
"data_loading","writexl",TRUE
"data_loading","readxl",TRUE
"data_loading","openxlsx",TRUE
"data_loading","readr",TRUE
"data_loading","here",TRUE
"data_simulation","lme4",TRUE
"data_simulation","Matrix",TRUE
"data_simulation","MASS",TRUE
"data_simulation","ggplot2",TRUE
"data_simulation","purrr",TRUE
"data_simulation","stringr",TRUE
"data_simulation","tidyr",TRUE
"data_simulation","dplyr",TRUE
"data_viz_advanced","quanteda.textplots",TRUE
"data_viz_advanced","quanteda",TRUE
"data_viz_advanced","vcd",TRUE
"data_viz_advanced","viridis",TRUE
"data_viz_advanced","viridisLite",TRUE
"data_viz_advanced","scales",TRUE
"data_viz_advanced","EnvStats",TRUE
"data_viz_advanced","ggridges",TRUE
"data_viz_advanced","ggstats",TRUE
"data_viz_advanced","ggflags",TRUE
"data_viz_advanced","patchwork",TRUE
"data_viz_advanced","hexbin",TRUE
"data_viz_advanced","flextable",TRUE
"data_viz_advanced","tidyr",TRUE
"data_viz_advanced","ggplot2",TRUE
"data_viz_advanced","stringr",TRUE
"data_viz_advanced","dplyr",TRUE
"data_viz_advanced","checkdown",TRUE
"data_viz_intro","RColorBrewer",TRUE
"data_viz_intro","flextable",TRUE
"data_viz_intro","tidyr",TRUE
"data_viz_intro","stringr",TRUE
"data_viz_intro","dplyr",TRUE
"data_viz_intro","gridExtra",TRUE
"data_viz_intro","vip",TRUE
"data_viz_intro","ggplot2",TRUE
"datamanagement","checkdown",TRUE
"deep_learning","glue",TRUE
"deep_learning","lubridate",TRUE
"deep_learning","forcats",TRUE
"deep_learning","stringr",TRUE
"deep_learning","dplyr",TRUE
"deep_learning","purrr",TRUE
"deep_learning","readr",TRUE
"deep_learning","tidyr",TRUE
"deep_learning","tibble",TRUE
"deep_learning","ggplot2",TRUE
"deep_learning","tidyverse",TRUE
"deep_learning","keras3",TRUE
"descriptive_stats","effectsize",TRUE
"descriptive_stats","e1071",TRUE
"descriptive_stats","cowplot",TRUE
"descriptive_stats","Rmisc",TRUE
"descriptive_stats","plyr",TRUE
"descriptive_stats","lattice",TRUE
"descriptive_stats","psych",TRUE
"descriptive_stats","flextable",TRUE
"descriptive_stats","ggpubr",TRUE
"descriptive_stats","DescTools",TRUE
"descriptive_stats","boot",TRUE
"descriptive_stats","stringr",TRUE
"descriptive_stats","ggplot2",TRUE
"descriptive_stats","dplyr",TRUE
"descriptive_stats","checkdown",TRUE
"dimension_reduction","psych",TRUE
"dimension_reduction","report",TRUE
"dimension_reduction","factoextra",TRUE
"dimension_reduction","ggplot2",TRUE
"dimension_reduction","MASS",TRUE
"dimension_reduction","tidyr",TRUE
"dimension_reduction","stringr",TRUE
"dimension_reduction","flextable",TRUE
"dimension_reduction","dplyr",TRUE
"dimension_reduction","checkdown",TRUE
"document_classification","ggplot2",TRUE
"document_classification","stopwords",TRUE
"document_classification","quanteda.textmodels",TRUE
"document_classification","quanteda",TRUE
"embeddings","checkdown",TRUE
"embeddings","flextable",TRUE
"embeddings","here",TRUE
"embeddings","Rtsne",TRUE
"embeddings","ggrepel",TRUE
"embeddings","ggplot2",TRUE
"embeddings","purrr",TRUE
"embeddings","tidyr",TRUE
"embeddings","stringr",TRUE
"embeddings","dplyr",TRUE
"embeddings","text2vec",TRUE
"embeddings","word2vec",TRUE
"eyetracking","here",TRUE
"eyetracking","sjPlot",TRUE
"eyetracking","lme4",TRUE
"eyetracking","Matrix",TRUE
"eyetracking","itsadug",TRUE
"eyetracking","plotfunctions",TRUE
"eyetracking","mgcv",TRUE
"eyetracking","nlme",TRUE
"eyetracking","data.table",TRUE
"eyetracking","eyetrackingR",TRUE
"eyetracking","lubridate",TRUE
"eyetracking","forcats",TRUE
"eyetracking","stringr",TRUE
"eyetracking","dplyr",TRUE
"eyetracking","purrr",TRUE
"eyetracking","readr",TRUE
"eyetracking","tidyr",TRUE
"eyetracking","tibble",TRUE
"eyetracking","ggplot2",TRUE
"eyetracking","tidyverse",TRUE
"eyetracking","checkdown",TRUE
"gutenberg","flextable",TRUE
"gutenberg","DT",TRUE
"gutenberg","gutenbergr",TRUE
"gutenberg","lubridate",TRUE
"gutenberg","forcats",TRUE
"gutenberg","stringr",TRUE
"gutenberg","dplyr",TRUE
"gutenberg","purrr",TRUE
"gutenberg","readr",TRUE
"gutenberg","tidyr",TRUE
"gutenberg","tibble",TRUE
"gutenberg","ggplot2",TRUE
"gutenberg","tidyverse",TRUE
"inferential_stats","report",TRUE
"inferential_stats","effectsize",TRUE
"inferential_stats","cfa",TRUE
"inferential_stats","gridExtra",TRUE
"inferential_stats","fGarch",TRUE
"inferential_stats","lawstat",TRUE
"inferential_stats","e1071",TRUE
"inferential_stats","flextable",TRUE
"inferential_stats","tidyr",TRUE
"inferential_stats","ggplot2",TRUE
"inferential_stats","dplyr",TRUE
"inferential_stats","checkdown",TRUE
"interactive_viz","rnaturalearthdata",TRUE
"interactive_viz","rnaturalearth",TRUE
"interactive_viz","sf",TRUE
"interactive_viz","flextable",TRUE
"interactive_viz","DT",TRUE
"interactive_viz","leaflet",TRUE
"interactive_viz","plotly",TRUE
"interactive_viz","gapminder",TRUE
"interactive_viz","gganimate",TRUE
"interactive_viz","ggplot2",TRUE
"interactive_viz","tidyr",TRUE
"interactive_viz","dplyr",TRUE
"interactive_viz","checkdown",TRUE
"jupyter","flextable",TRUE
"jupyter","rmd2jupyter",TRUE
"jupyter","devtools",TRUE
"jupyter","usethis",TRUE
"keywords","ggplot2",TRUE
"keywords","tm",TRUE
